id,inEnglish,name,numberOfAyahs,revelationType,arabicName

0,The Opening,Al-Faatiha,7,Meccan,سورة الفاتحة
1,The Cow,Al-Baqara,286,Medinan,سورة البقرة
2,The Family of Imraan,Aal-i-Imraan,200,Medinan,سورة آل عمران
3,The Women,An-Nisaa,176,Medinan,سورة النساء
4,The Table,Al-Maaida,120,Medinan,سورة المائدة
5,The Cattle,Al-An'aam,165,Meccan,سورة الأنعام
6,The Heights,Al-A'raaf,206,Meccan,سورة الأعراف
7,The Spoils of War,Al-Anfaal,75,Medinan,سورة الأنفال
8,The Repentance,At-Tawba,129,Medinan,سورة التوبة
9,Jonas,Yunus,109,Meccan,سورة يونس
10,Hud,Hud,123,Meccan,سورة هود
11,Joseph,Yusuf,111,Meccan,سورة يوسف
12,The Thunder,Ar-Ra'd,43,Medinan,سورة الرعد
13,Abraham,Ibrahim,52,Meccan,سورة ابراهيم
14,The Rock,Al-Hijr,99,Meccan,سورة الحجر
15,The Bee,An-Nahl,128,Meccan,سورة النحل
16,The Night Journey,Al-Israa,111,Meccan,سورة الإسراء
17,The Cave,Al-Kahf,110,Meccan,سورة الكهف
18,Mary,Maryam,98,Meccan,سورة مريم
19,Taa-Haa,Taa-Haa,135,Meccan,سورة طه
20,The Prophets,Al-Anbiyaa,112,Meccan,سورة الأنبياء
21,The Pilgrimage,Al-Hajj,78,Medinan,سورة الحج
22,The Believers,Al-Muminoon,118,Meccan,سورة المؤمنون
23,The Light,An-Noor,64,Medinan,سورة النور
24,The Criterion,Al-Furqaan,77,Meccan,سورة الفرقان
25,The Poets,Ash-Shu'araa,227,Meccan,سورة الشعراء
26,The Ant,An-Naml,93,Meccan,سورة النمل
27,The Stories,Al-Qasas,88,Meccan,سورة القصص
28,The Spider,Al-Ankaboot,69,Meccan,سورة العنكبوت
29,The Romans,Ar-Room,60,Meccan,سورة الروم
30,Luqman,Luqman,34,Meccan,سورة لقمان
31,The Prostration,As-Sajda,30,Meccan,سورة السجدة
32,The Clans,Al-Ahzaab,73,Medinan,سورة الأحزاب
33,Sheba,Saba,54,Meccan,سورة سبإ
34,The Originator,Faatir,45,Meccan,سورة فاطر
35,Yaseen,Yaseen,83,Meccan,سورة يس
36,Those drawn up in Ranks,As-Saaffaat,182,Meccan,سورة الصافات
37,The letter Saad,Saad,88,Meccan,سورة ص
38,The Groups,Az-Zumar,75,Meccan,سورة الزمر
39,The Forgiver,Ghafir,85,Meccan,سورة غافر
40,Explained in detail,Fussilat,54,Meccan,سورة فصلت
41,Consultation,Ash-Shura,53,Meccan,سورة الشورى
42,Ornaments of gold,Az-Zukhruf,89,Meccan,سورة الزخرف
43,The Smoke,Ad-Dukhaan,59,Meccan,سورة الدخان
44,Crouching,Al-Jaathiya,37,Meccan,سورة الجاثية
45,The Dunes,Al-Ahqaf,35,Meccan,سورة الأحقاف
46,Muhammad,Muhammad,38,Medinan,سورة محمد
47,The Victory,Al-Fath,29,Medinan,سورة الفتح
48,The Inner Apartments,Al-Hujuraat,18,Medinan,سورة الحجرات
49,The letter Qaaf,Qaaf,45,Meccan,سورة ق
50,The Winnowing Winds,Adh-Dhaariyat,60,Meccan,سورة الذاريات
51,The Mount,At-Tur,49,Meccan,سورة الطور
52,The Star,An-Najm,62,Meccan,سورة النجم
53,The Moon,Al-Qamar,55,Meccan,سورة القمر
54,The Beneficent,Ar-Rahmaan,78,Medinan,سورة الرحمن
55,The Inevitable,Al-Waaqia,96,Meccan,سورة الواقعة
56,The Iron,Al-Hadid,29,Medinan,سورة الحديد
57,The Pleading Woman,Al-Mujaadila,22,Medinan,سورة المجادلة
59,The Exile,Al-Hashr,24,Medinan,سورة الحشر
59,She that is to be examined,Al-Mumtahana,13,Medinan,سورة الممتحنة
60,The Ranks,As-Saff,14,Medinan,سورة الصف
61,Friday,Al-Jumu'a,11,Medinan,سورة الجمعة
62,The Hypocrites,Al-Munaafiqoon,11,Medinan,سورة المنافقون
63,Mutual Disillusion,At-Taghaabun,18,Medinan,سورة التغابن
64,Divorce,At-Talaaq,12,Medinan,سورة الطلاق
65,The Prohibition,At-Tahrim,12,Medinan,سورة التحريم
66,The Sovereignty,Al-Mulk,30,Meccan,سورة الملك
67,The Pen,Al-Qalam,52,Meccan,سورة القلم
68,The Reality,Al-Haaqqa,52,Meccan,سورة الحاقة
69,The Ascending Stairways,Al-Ma'aarij,44,Meccan,سورة المعارج
70,Noah,Nooh,28,Meccan,سورة نوح
71,The Jinn,Al-Jinn,28,Meccan,سورة الجن
72,The Enshrouded One,Al-Muzzammil,20,Meccan,سورة المزمل
73,The Cloaked One,Al-Muddaththir,56,Meccan,سورة المدثر
74,The Resurrection,Al-Qiyaama,40,Meccan,سورة القيامة
75,Man,Al-Insaan,31,Medinan,سورة الانسان
76,The Emissaries,Al-Mursalaat,50,Meccan,سورة المرسلات
77,The Announcement,An-Naba,40,Meccan,سورة النبإ
78,Those who drag forth,An-Naazi'aat,46,Meccan,سورة النازعات
79,He frowned,Abasa,42,Meccan,سورة عبس
80,The Overthrowing,At-Takwir,29,Meccan,سورة التكوير
81,The Cleaving,Al-Infitaar,19,Meccan,سورة الإنفطار
82,Defrauding,Al-Mutaffifin,36,Meccan,سورة المطففين
83,The Splitting Open,Al-Inshiqaaq,25,Meccan,سورة الإنشقاق
84,The Constellations,Al-Burooj,22,Meccan,سورة البروج
85,The Morning Star,At-Taariq,17,Meccan,سورة الطارق
86,The Most High,Al-A'laa,19,Meccan,سورة الأعلى
87,The Overwhelming,Al-Ghaashiya,26,Meccan,سورة الغاشية
88,The Dawn,Al-Fajr,30,Meccan,سورة الفجر
89,The City,Al-Balad,20,Meccan,سورة البلد
90,The Sun,Ash-Shams,15,Meccan,سورة الشمس
91,The Night,Al-Lail,21,Meccan,سورة الليل
92,The Morning Hours,Ad-Dhuhaa,11,Meccan,سورة الضحى
93,The Consolation,Ash-Sharh,8,Meccan,سورة الشرح
94,The Fig,At-Tin,8,Meccan,سورة التين
95,The Clot,Al-Alaq,19,Meccan,سورة العلق
96,"The Power, Fate",Al-Qadr,5,Meccan,سورة القدر
97,The Evidence,Al-Bayyina,8,Medinan,سورة البينة
98,The Earthquake,Az-Zalzala,8,Medinan,سورة الزلزلة
99,The Chargers,Al-Aadiyaat,11,Meccan,سورة العاديات
100,The Calamity,Al-Qaari'a,11,Meccan,سورة القارعة
101,Competition,At-Takaathur,8,Meccan,سورة التكاثر
102,"The Declining Day, Epoch",Al-Asr,3,Meccan,سورة العصر
103,The Traducer,Al-Humaza,9,Meccan,سورة الهمزة
104,The Elephant,Al-Fil,5,Meccan,سورة الفيل
105,Quraysh,Quraish,4,Meccan,سورة قريش
106,Almsgiving,Al-Maa'un,7,Meccan,سورة الماعون
107,Abundance,Al-Kawthar,3,Meccan,سورة الكوثر
108,The Disbelievers,Al-Kaafiroon,6,Meccan,سورة الكافرون
109,Divine Support,An-Nasr,3,Medinan,سورة النصر
110,The Palm Fibre,Al-Masad,5,Meccan,سورة المسد
111,Sincerity,Al-Ikhlaas,4,Meccan,سورة الإخلاص
112,The Dawn,Al-Falaq,5,Meccan,سورة الفلق
113,Mankind,An-Naas,6,Meccan,سورة الناس
